==2294== NVPROF is profiling process 2294, command: ./matrixMul_concurrent --streams=4
==2294== Profiling application: ./matrixMul_concurrent --streams=4
==2294== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
340.91ms  344.49us                    -               -         -         -         -  1.8906MB  5.3596GB/s    Pageable      Device  Tesla V100-SXM2         1        18  [CUDA memcpy HtoD]
341.50ms  746.64us                    -               -         -         -         -  3.7813MB  4.9457GB/s    Pageable      Device  Tesla V100-SXM2         1        18  [CUDA memcpy HtoD]
343.57ms  319.59us                    -               -         -         -         -  1.8906MB  5.7771GB/s    Pageable      Device  Tesla V100-SXM2         1        18  [CUDA memcpy HtoD]
344.13ms  746.16us                    -               -         -         -         -  3.7813MB  4.9489GB/s    Pageable      Device  Tesla V100-SXM2         1        18  [CUDA memcpy HtoD]
344.90ms  4.4990ms            (44 22 1)       (32 32 1)        38        0B  14.844KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [124]
349.44ms  4.4910ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [135]
349.90ms  1.8809ms                    -               -         -         -         -  3.7813MB  1.9633GB/s      Device    Pageable  Tesla V100-SXM2         1        18  [CUDA memcpy DtoH]
353.58ms  3.9556ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [142]
357.23ms  3.9542ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        16  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [156]
360.88ms  3.9541ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        17  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [170]
364.53ms  3.9551ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [184]
368.18ms  4.4942ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [149]
372.33ms  4.4959ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        16  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [163]
376.48ms  4.4958ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        17  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [177]
